ENE,FEB,MAR,ABRI,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
65.88,183.38,210.11,9.33,0.07,0.13,0.25,1.74,0.82,4.56,11.73,47.51
75,189.67,65.14,15.67,0.32,0.13,1.06,0.62,1.17,9.08,20.43,12.52
59.28,98.21,213.58,24.51,1.09,0.38,0.23,0.37,1.21,3.02,5.05,54.12
71.1,318.32,118.5,19.98,3.56,1.1,0.15,0.78,0.73,12.1,20.9,70.35
29.98,184.72,157.38,22.44,1.41,0.59,0.38,0.65,1.74,1.45,5.03,40.31
172.03,175.1,156.67,31.51,2.84,0,0.92,1.65,0.57,1.44,5.87,71.21
164.17,89.25,66.09,4.64,0.35,0.16,0.43,1.09,1.05,1.24,6.46,22.51
132.73,160.3,111.08,40.51,4.31,0.01,0.05,0.4,0.95,2.27,4.27,67.93
127.58,321.67,186.26,13.86,0.75,0.57,0.2,0.82,1.16,4.9,1.87,1.82
57.96,27.99,65.62,10.38,1.87,1.03,0.16,0.65,0.72,10.18,24.22,105.96
55.03,94.03,158.72,16.75,1.15,0.2,0.24,0.2,0.69,6.5,4.42,7.72
18.95,39.27,37.73,10.6,0.25,0.39,0.19,0.58,0.3,6.04,2.13,11.31
90.67,116.52,166.24,37.63,0.76,0.05,0.2,0.44,1.02,8.03,20.45,77.06
171.23,273.35,141.73,36.95,3.21,0.4,0.31,0.74,1.97,1.63,12.81,59.32
96.06,57.92,137.32,23.12,1.6,0.1,0.43,0.37,1.62,5.59,26.48,60.92
147.57,247.56,157.99,28.07,0.66,0.05,0.15,0.83,0.78,3.62,5.59,27.36
87.6,183.93,28.37,7.65,0.54,0.1,0.11,1.11,2.81,5.92,17.87,105.93
193.75,211.01,267.1,17.36,0.04,0.3,0.09,0.43,1.42,3.2,5.39,46.15
118.02,346.07,165.36,34.65,3.29,0.15,0.24,0.48,2.7,15.59,11.52,47.16
152.05,239.6,148.7,21.47,1.97,0,0.4,0.72,2.08,6.75,6.37,81.71
227.69,172.27,257.26,28.94,0.91,0,0.37,0.36,1.93,4.63,43.33,3.56
45.06,192.59,168.44,40.59,2.92,0.06,0.2,0.28,4.47,13.76,30.02,25.86
88.71,106.43,147.28,9.76,0.34,0,0.13,0.19,0.2,3.15,2.04,152.07
23.78,208.49,91.04,29.89,0.53,0.79,0.08,0.52,3.09,4.08,9.6,59.38
74.79,78.2,86.77,7.78,0.53,0,0.05,0.21,0.39,0.49,0.82,69.9
162.41,243.05,216.3,35.82,0.19,0.41,0.02,0.82,0.86,3.23,19.19,106.18
100.95,101.9,236.62,51.44,0.79,0,0.04,0.27,0.27,9.87,4.69,21.09
187.33,295.11,208.67,9.93,0.16,0,0.05,1.1,0.38,3.58,14.75,25.19
163.83,269.89,205.44,47.72,0.37,0,0.27,0.69,0.37,18.19,27.05,38.97
70.42,147.09,138.33,20.85,0.47,0.1,0.01,0.16,2.75,3.13,10.31,78.07
170.21,117.44,114.85,47.16,0.28,0,0.17,0.25,1.13,2.12,17.01,69.57
54.3,209.59,243.55,49.08,0.87,0.02,0.16,0.21,3.09,17.78,11.71,40.65
37.97,218.96,181.69,7.04,4.35,0.29,0.78,1.24,0.41,6.53,9.05,36.22
114.64,90.74,202.19,21.05,1.47,0.23,0.41,1.55,1.86,9.45,15.54,69.68
117.12,119.36,230.72,34.82,0.36,0.72,0.24,2.36,0.96,3.89,6.69,28.74
22.75,160.05,111.97,20.39,0.35,0.37,0.27,0.4,1.05,0.97,0.27,32.21
